"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.SpaceShipTest","com.costa.luiz.testng.SpaceShipTest","checkMeasureToBeMetric","Check the measure to be metric",""
"failed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","4","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","dontFixMe","dontFixMe",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","2","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateTransaction","validateTransaction",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","14","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:44 GMT 2022","18713","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","Login","Login",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","3","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendAMessage","sendAMessage",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","2","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","sendCommunication","sendCommunication",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","rollbackATransaction","rollbackATransaction",""
"passed","Wed Aug 24 23:17:44 GMT 2022","Wed Aug 24 23:17:44 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","entertainmentSystem","entertainmentSystem",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","4","Surefire suite","Surefire test","com.costa.luiz.testng.PaymentServiceTest","com.costa.luiz.testng.PaymentServiceTest","validateCard","validateCard",""
"passed","Wed Aug 24 23:17:25 GMT 2022","Wed Aug 24 23:17:25 GMT 2022","0","Surefire suite","Surefire test","com.costa.luiz.testng.AirplaneTest","com.costa.luiz.testng.AirplaneTest","engine","engine",""
